hexcode,airline,registration,aircraft,aircraft_thumbnail,latitude,longitude,altitude,distance,first_seen_time
a82903,Delta Connection,N625CA,CRJ 700,https://hexdb.io/static/aircraft-images/N625CA-thumb.jpg,42.546697,-80.09838,29000,127.1275677864419,Sat May 17 10:59:47 2025
c0712e,WestJet,C-GQWJ,737NG 7CT/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.824521,-79.635707,25100,94.96792719006035,Sat May 17 11:08:36 2025
ab839c,Desert Jet LLC,N841AM,Citation CJ3,https://hexdb.io/static/aircraft-images/N841AM-thumb.jpg,43.187256,-81.029598,43000,140.30744766778074,Sat May 17 11:08:36 2025
c06362,Porter Airlines,C-GLQN,DHC-8 402,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.693085,-79.229502,11100,15.21475558755494,Sat May 17 17:19:13 2025
c067ae,Air Canada,C-GNGV,A220 300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.047041,-81.439558,23000,164.51371745336,Sat May 17 18:12:13 2025
a81166,American Eagle,N619NN,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.87886,-79.907589,21850,93.71283826051167,Sat May 17 12:10:59 2025
c0617c,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.676056,-79.850421,9075,42.44679909144794,Sat May 17 11:01:57 2025
acd68a,Delta Connection,N926XJ,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.283539,-80.090145,31000,152.17868639149054,Sat May 17 11:00:21 2025
a7f308,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.366063,-80.035989,21150,64.54925605679892,Sat May 17 12:23:26 2025
c04671,Air Canada Rouge,C-GARO,A319 114,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.852036,-79.657841,23125,92.25280749397844,Sat May 17 11:11:41 2025
c060c9,United Express,N764YX,EMB-175 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.296514,-79.752633,14700,51.12552227884343,Sat May 17 11:08:36 2025
adecb6,Delta Air Lines,N997AT,717 2BD,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.29892,-80.073416,30950,150.74607104902924,Sat May 17 11:01:57 2025
aa52a0,United Express,N764YX,EMB-175 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.901891,-79.556972,23725,85.90124438806649,Sat May 17 11:14:15 2025
aa5dc5,United Express,N767YX,EMB-175 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.348709,-79.384333,12100,35.52786369825823,Sat May 17 11:07:03 2025
